command;type;animated;words;solution;explanation;hint;file_id;path
rebus;REBÚS;False;1;Admirador;<i>AD</i> está mirando a <i>DOR</i>;¿Qué hace <i>AD</i>?;AgACAgEAAxkBAAIFa2GVe08roLgOsMIB2n4OhFkN7fNlAALQqTEbQ5qoRAsVa8QWvLoiAQADAgADcwADIgQ;assets/img/rebuses/001_admirador.jpg;
rebus;REBÚS;False;1;Contenido;Porque con la <i>T</i> hay un nido;¿Quién acompaña a la <i>T</i>?;AgACAgEAAxkBAAIFbGGVe08yn92SC7j5ZWb3rwABIINL7wAC0akxG0OaqESnzK-awizTMwEAAwIAA3MAAyIE;assets/img/rebuses/002_contenido.jpg
rebus;REBÚS;False;1;Papagayo;<i>PA</i> le está pagando a <i>YO</i>.;Pensá en un animal colorido...;AgACAgEAAxkBAAIFbWGVe085u92BES2IDc-CmP17Tw8rAALSqTEbQ5qoRNcXWfkiY4IYAQADAgADcwADIgQ;assets/img/rebuses/003_papagayo.jpg
rebus;REBÚS;False;1;Manicomio;Porque ella comió maní.;¿Qué se comió? ¿Cuándo se lo comió?;AgACAgEAAxkBAAIFbmGVfGopypeKxoDzUHLrfO1FFXwtAALTqTEbQ5qoRCZDrkiGdpnSAQADAgADcwADIgQ;assets/img/rebuses/004_manicomio.jpg
rebus;REBÚS;False;1;Poderosa;;Mirá bien qué está haciendo esa mano. ¿A quién se lo hace?;AgACAgEAAxkBAAIFb2GVfGqXTS84XKPmXU4ILDriwfFJAALUqTEbQ5qoRO2XqIMHNCz1AQADAgADcwADIgQ;assets/img/rebuses/005_poderosa.jpg
rebus;REBÚS;False;1;Penoso;La <i>P</i> está adentro del oso.;Fijate bien en dónde está la "P";AgACAgEAAxkBAAIFmGGVfhpM5UdCmfCpDovYbIkCq7-uAALVqTEbQ5qoRGdQ4t0Ge3lxAQADAgADcwADIgQ;assets/img/rebuses/006_penoso.jpg
rebus;REBÚS;False;1;Ensobra;Es que hay un <i>EN</i> que sobra.;Fijate bien qué pasa con "En";AgACAgEAAxkBAAIFmWGVfhqQ_MD1yujq40ng0ZZKz9_hAALWqTEbQ5qoRHStH8q10gGdAQADAgADcwADIgQ;assets/img/rebuses/007_ensobra.jpg
rebus;REBÚS;False;1;Astrid;Nombre de mujer. Al 1 se le dice <i>az</i>, y hay 3 <i>D</i>.;Un nombre de mujer muy poco común;AgACAgEAAxkBAAIFmmGVfhre6pmiyu_TSvUip83NwCaVAALXqTEbQ5qoRDjggoB_qAlFAQADAgADcwADIgQ;assets/img/rebuses/008_astrid.jpg
rebus;REBÚS;False;1;Adela;;¿De qué está hecha esa letra?;AgACAgEAAxkBAAIFm2GVfhrSRcyym_j1bT-0SbWOnJoCAALYqTEbQ5qoRBYc9AIFB3swAQADAgADcwADIgQ;assets/img/rebuses/009_adela.jpg
rebus;REBÚS;False;1;Albino;;Dícese de un hombre al que le falta pigmentación;AgACAgEAAxkBAAIFnGGVfhraWsTANkP1Px0U_EqmpG4DAALZqTEbQ5qoREW4gDI5MdikAQADAgADcwADIgQ;assets/img/rebuses/010_albino.jpg
